File name,Old/new/another name,Note:,Need to change?,Changed?
PCI Biotech Holding,PCI Biotech,,Yes,Changed
Salmones Camanchaca,,,,
Star Bulk Carriers,,"Dropped, ticker inactive",,
Shelf Drilling,,,,
Vistin Pharma,Vistin,,Yes,Changed
Wallenius Wilhelmsen,,,,
Wentworth Resources,,"Dropped, ticker inactive",,
Magnora,,,,
poLight,,,,
Petrolia,,,,
Adevinta,"(Adevinta is ""spun off"" from Schibsted)",,,
"Adevinta ser, A",,"Remove, confuses search",Yes,Removed
Carasent,Apptix,Carasent until 2019,Yes,Added
Endúr,Bergen Group,Already added,,
Nekkar,TTS Group,,Yes,Added
NORBIT,,,,
Norske Skog,,"Drop because ""norske skog"" is also a term? Ask Live",,?
OKEA,,,,
SATS,,,,
Star Bulk Carriers,,"Dropped, ticker inactive",,
Scanship Holding,,"Dropped, ticker inactive",,
Ultimovacs,,,,
TietoEVRY,Tieto (before 2019),"Change to ""Tieto"" since it will also catch ""TietoEVRY""",Yes,Changed
